dataId,node1,node2,birthYear,gender,height,weight,walkSpeed,temperature,precipitationProbability,precipitation,takeTime,weightShortest,weightOptimal
1, 광장계단 근처,반도체대학 정문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.07201122772421964,-76.50223918596069
2, 광장계단 근처,반도체대학 정문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.07201122772421964,-76.50223918596069
3, 광장계단 근처,반도체대학 정문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.07201122772421964,-76.50223918596069
4, 광장계단 근처,반도체대학 정문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.07201122772421964,-76.50223918596069
5, 광장계단 근처,반도체대학 정문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.07201122772421964,-76.50223918596069
6, 광장계단 근처,반도체대학 정문,1999,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.07201122772421964,-76.50223918596069
7, 광장계단 근처,반도체대학 정문,2002,1,178.1,69.7,2,19.8,10.1,10.0,10.5,0.07201122772421964,-76.50223918596069
8, 반도체대학 무당이정류장,반도체대학 코너,2000,0,173.0,65.0,1,17.0,60.0,1.0,8.0,0.01264054587192205,0.0
9, 반도체대학 코너,반도체대학 앞 동산 횡단보도,2000,0,173.0,65.0,1,17.0,60.0,1.0,10.0,0.01638386516149479,0.0
10, 반도체대학 앞 동산 횡단보도,반도체대학 코너,2000,0,173.0,65.0,1,17.0,60.0,1.0,4.0,0.01638386516149479,0.0
11, 반도체대학 앞 동산 횡단보도,파스쿠치 앞,1999,0,178.0,71.0,2,0.0,0.0,0.0,34.0,0.05796208204793505,-89.68470278469094
12, 파스쿠치 앞,파스쿠치-공대 횡단보도,1999,0,178.0,71.0,2,0.0,0.0,0.0,6.0,0.011565423177815934,61.50456784139774
13, 파스쿠치-공대 횡단보도,공과대학1 정문 앞,1999,0,178.0,71.0,2,0.0,0.0,0.0,16.0,0.023612579574638953,89.87129287326552
14, 공과대학1 정문 앞,공대 분기점,1999,0,178.0,71.0,2,0.0,0.0,0.0,17.0,0.029613020563533293,0.0
15, 공대 분기점,글로벌센터 내려가는 계단,1999,0,178.0,71.0,2,0.0,0.0,0.0,39.0,0.05053224816316234,-89.16990225092867
16, 글로벌센터 내려가는 계단,가천관 - 구 ROTC,1999,0,178.0,71.0,2,0.0,0.0,0.0,6.0,0.013706459363799054,89.93393794421443
17, 가천관 - 구 ROTC,가천관-예술대학2,1999,0,178.0,71.0,2,0.0,0.0,0.0,34.0,0.05995840791564111,88.28283245312524
18, 가천관-예술대학2,글로벌센터 가천관 분기점,1999,0,178.0,71.0,2,0.0,0.0,0.0,14.0,0.026270856589441755,0.0
19, 글로벌센터 가천관 분기점,가천관 더 내려가는 길,1999,0,178.0,71.0,2,0.0,0.0,0.0,12.0,0.018671311587358085,89.64340882020043
20, 가천관 더 내려가는 길,가천관 내려가는 길,1999,0,178.0,71.0,2,0.0,0.0,0.0,107.0,0.017815353549611487,-88.97936340080533
21, 가천관 내려가는 길,가천고개 향하는 횡단보도,1999,0,178.0,71.0,2,0.0,0.0,0.0,9.0,0.012684071888020246,89.63663297854822
22, 가천고개 향하는 횡단보도,가천고개 끝,1999,0,178.0,71.0,2,0.0,0.0,0.0,6.0,0.017697694546870483,0.0
23, 가천고개 끝,가천고개 내려가는 길,1999,0,178.0,71.0,2,0.0,0.0,0.0,28.0,0.0479354735013592,89.59610958413327
24, 가천고개 내려가는 길,교육대학원 옆 횡단보도,1999,0,178.0,71.0,2,0.0,0.0,0.0,39.0,0.06403748321895833,89.46044572637027
25, 교육대학원 옆 횡단보도,교육대학원 쪽문,1999,0,178.0,71.0,2,0.0,0.0,0.0,12.0,0.022611344743864403,83.54971596399955
26, 교육대학원 쪽문,교육대학원 앞 횡단보도,1999,0,178.0,71.0,2,0.0,0.0,0.0,11.0,0.018088148578229823,84.83218662523609
27, 교육대학원 앞 횡단보도,교육대학원 무당이 정류장,1999,0,178.0,71.0,2,0.0,0.0,0.0,10.0,0.018647622023670648,0.0
28, 교육대학원 무당이 정류장,교육대학원-중앙도서관 길목,1999,0,178.0,71.0,2,0.0,0.0,0.0,26.0,0.04939161464612843,-85.96393050992563
29, 교육대학원-중앙도서관 길목,중앙도서관 흡연구역 입구,1999,0,178.0,71.0,2,0.0,0.0,0.0,20.0,0.02883387047688575,0.0
30, 중앙도서관 흡연구역 입구,중앙도서관 정문 길목,1999,0,178.0,71.0,2,0.0,0.0,0.0,27.0,0.04619865161436956,-86.22406490331136
31, 중앙도서관 정문 길목,중앙도서관 길목,1999,0,178.0,71.0,2,0.0,0.0,0.0,11.0,0.02024245910298387,88.34359379490371
32, 중앙도서관 길목,중앙도서관 횡단보도,1999,0,178.0,71.0,2,0.0,0.0,0.0,21.0,0.037869902236779586,-89.71207202029682
33, 중앙도서관 횡단보도,총학생회관 무당이 정류장,1999,0,178.0,71.0,2,0.0,0.0,0.0,42.0,0.06882633232503003,88.76198803455307
34, 총학생회관 무당이 정류장,총학생회관 더 내려가는 길목,1999,0,178.0,71.0,2,0.0,0.0,0.0,25.0,0.03904106249169975,-82.19606160399502
35, 총학생회관 더 내려가는 길목,AI공학관 더 올라가는 길목,1999,0,178.0,71.0,2,0.0,0.0,0.0,14.0,0.024751754641411057,-89.71055986210361
36, AI공학관 더 올라가는 길목,AI공학관 올라가는 길목,1999,0,178.0,71.0,2,0.0,0.0,0.0,6.0,0.013034465235654574,-89.74201422138862
37, AI공학관 올라가는 길목,AI공학관 길목,1999,0,178.0,71.0,2,0.0,0.0,0.0,32.0,0.053766989853744236,-89.69179205063061
38, AI공학관 길목,AI공학관 1층 흡연장 정문,1999,0,178.0,71.0,2,0.0,0.0,0.0,46.0,0.07709506083444671,89.48250030337415
39, 운동장 앞 AI공학관 길목,운동장 초입,1999,0,178.0,70.0,2,13.0,0.0,0.0,72.0,0.1132586934102918,0.0
40, 운동장 초입,운동장-총학생회관 길목,1999,0,178.0,70.0,2,13.0,0.0,0.0,37.0,0.05439442740975048,-89.48058570955853
41, 반도체대학 정문,파스쿠치 앞,1999,0,178.0,70.0,2,13.0,0.0,0.0,31.0,0.031027323606880212,-89.83121898248088
42, 파스쿠치 앞,파스쿠치-공대 횡단보도,1999,0,178.0,70.0,2,13.0,0.0,0.0,7.0,0.011565423177815934,61.50456784139774
43, 파스쿠치-공대 횡단보도,공과대학1 정문 앞,1999,0,178.0,70.0,2,13.0,0.0,0.0,18.0,0.023612579574638953,89.87129287326552
44, 가천관 길목,공과대학-가천관 횡단보도,2000,0,173.0,66.0,2,19.0,0.0,0.0,23.0,0.025574579141661988,0.0
45, 글로벌센터 가천관 분기점,가천관-예술대학2,2000,0,173.0,65.0,1,19.0,0.0,0.0,20.0,0.026270856589441755,0.0
46, 공과대학-가천관 횡단보도,공과대학-산학협력관 계단,2000,0,173.0,66.0,2,19.0,0.0,0.0,49.0,0.06917752593840373,-89.8224599332683
47, 가천관-예술대학2,가천관 - 구 ROTC,2000,0,173.0,65.0,1,19.0,0.0,0.0,44.0,0.05995840791564111,-88.28283245312524
48, 가천관 - 구 ROTC,가천관 앞 엘리베이터,2000,0,173.0,65.0,1,19.0,0.0,0.0,10.0,0.01354802328550384,0.0
49, 공과대학-산학협력관 계단,공과대학 정문,2000,0,173.0,66.0,2,19.0,0.0,0.0,13.0,0.03295882420760795,89.84572133458866
50, 가천관 앞 엘리베이터,반도체대학 앞 동산 끝,2000,0,173.0,65.0,1,19.0,0.0,0.0,7.0,0.009969343471123413,89.71440171269417
51, 공과대학 정문,공과대학 코너,2000,0,173.0,66.0,2,19.0,0.0,0.0,24.0,0.035250923783760026,89.79972523017464
52, 반도체대학 앞 동산 끝,가천관쪽 계단 끝지점,2000,0,173.0,65.0,1,19.0,0.0,0.0,16.0,0.020774679312000787,0.0
53, 공과대학 코너,공과대학-구름다리,2000,0,173.0,66.0,2,19.0,0.0,0.0,7.0,0.013913122939678434,89.00364641421103
54, 가천관쪽 계단 끝지점,반도체대학 앞 동산 끝,2000,0,173.0,65.0,1,19.0,0.0,0.0,10.0,0.020774679312000787,0.0
55, 반도체대학 앞 동산 끝,가천관 앞 엘리베이터,2000,0,173.0,65.0,1,19.0,0.0,0.0,8.0,0.009969343471123413,-89.71440171269417
56, 가천관 앞 엘리베이터,가천관 - 구 ROTC,2000,0,173.0,65.0,1,19.0,0.0,0.0,9.0,0.01354802328550384,0.0
57, 공과대학-구름다리,공과대학쪽문,2000,0,173.0,66.0,2,19.0,0.0,0.0,20.0,0.025159474235493078,-89.87355005718992
58, 가천관 - 구 ROTC,글로벌센터 내려가는 계단,2000,0,173.0,65.0,1,19.0,0.0,0.0,11.0,0.013706459363799054,-89.93393794421443
59, 공과대학쪽문,비전타워 구름다리 입구,2000,0,173.0,66.0,2,19.0,0.0,0.0,32.0,0.03714240719297068,-89.68336533970792
60, 글로벌센터 내려가는 계단,공대 분기점,2000,0,173.0,65.0,1,19.0,0.0,0.0,44.0,0.05053224816316234,89.16990225092867
61, 비전타워 구름다리 입구,바이오나노연구원 앞 엘리베이터,2000,0,173.0,66.0,2,19.0,0.0,0.0,28.0,0.042494480924725714,89.65808915161185
