birthYear,gender,height,weight,walkSpeed,temperature,precipitationProbability,precipitation,weightShortest,weightOptimal,takeTime
1999,0,178.0,71.0,2,0.0,0,0.0,-89.71207202029682,0.037869902236779586,21
1999,0,178.0,71.0,2,0.0,0,0.0,88.76198803455307,0.06882633232503003,42
1999,0,178.0,71.0,2,0.0,0,0.0,-82.19606160399502,0.03904106249169975,25
1999,0,178.0,71.0,2,0.0,0,0.0,-89.71055986210361,0.024751754641411057,14
1999,0,178.0,71.0,2,0.0,0,0.0,-89.74201422138862,0.013034465235654574,6
1999,0,178.0,71.0,2,0.0,0,0.0,-89.69179205063061,0.053766989853744236,32
1999,0,178.0,71.0,2,0.0,0,0.0,89.48250030337415,0.07709506083444671,46
1999,0,178.0,70.0,2,13.0,0,0.0,0.0,0.1132586934102918,72
1999,0,178.0,70.0,2,13.0,0,0.0,-89.48058570955853,0.05439442740975048,37
1999,0,178.0,70.0,2,13.0,0,0.0,-89.83121898248088,0.031027323606880212,31
1999,0,178.0,70.0,2,13.0,0,0.0,61.50456784139774,0.011565423177815934,7
1999,0,178.0,70.0,2,13.0,0,0.0,89.87129287326552,0.023612579574638953,18
2000,0,173.0,66.0,2,19.0,0,0.0,0.0,0.025574579141661988,23
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.026270856589441755,20
2000,0,173.0,66.0,2,19.0,0,0.0,-89.8224599332683,0.06917752593840373,49
2000,0,173.0,65.0,1,19.0,0,0.0,-88.28283245312524,0.05995840791564111,44
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.01354802328550384,10
2000,0,173.0,66.0,2,19.0,0,0.0,89.84572133458866,0.03295882420760795,13
2000,0,173.0,65.0,1,19.0,0,0.0,89.71440171269417,0.009969343471123413,7
2000,0,173.0,66.0,2,19.0,0,0.0,89.79972523017464,0.035250923783760026,24
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.020774679312000787,16
2000,0,173.0,66.0,2,19.0,0,0.0,89.00364641421103,0.013913122939678434,7
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.020774679312000787,10
2000,0,173.0,65.0,1,19.0,0,0.0,-89.71440171269417,0.009969343471123413,8
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.01354802328550384,9
2000,0,173.0,66.0,2,19.0,0,0.0,-89.87355005718992,0.025159474235493078,20
2000,0,173.0,65.0,1,19.0,0,0.0,-89.93393794421443,0.013706459363799054,11
2000,0,173.0,66.0,2,19.0,0,0.0,-89.68336533970792,0.03714240719297068,32
2000,0,173.0,65.0,1,19.0,0,0.0,89.16990225092867,0.05053224816316234,44
2000,0,173.0,66.0,2,19.0,0,0.0,89.65808915161185,0.042494480924725714,28
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.029613020563533293,22
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.020661023173019655,18
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.017786981554024705,12
2000,0,173.0,65.0,1,19.0,0,0.0,0.0,0.017786981554024705,15
2000,0,173.0,65.0,1,19.0,0,0.0,-89.90786106040888,0.016903774593836834,12
2000,0,173.0,66.0,2,19.0,0,0.0,-67.1809532987928,0.0841505033174869,35
2000,0,173.0,65.0,1,19.0,0,0.0,-61.50456784139774,0.011565423177815934,8
2000,0,173.0,65.0,1,19.0,0,0.0,89.68470278469094,0.05796208204793505,46
2000,0,173.0,66.0,2,19.0,0,0.0,-89.68470278469094,0.05796208204793505,59
2000,0,173.0,65.0,1,19.0,0,0.0,82.03126868001293,0.04199530697230977,33
2000,0,173.0,65.0,1,19.0,0,0.0,-82.03126868001293,0.04199530697230977,33
2000,0,173.0,65.0,1,19.0,0,0.0,-89.68470278469094,0.05796208204793505,46
2000,0,173.0,65.0,1,19.0,0,0.0,61.50456784139774,0.011565423177815934,9
2000,0,173.0,65.0,1,19.0,0,0.0,89.90786106040888,0.016903774593836834,16
