X,Y,Name,
127.134681826121,37.4555817183841,busPoint - council4
127.134639704754,37.4555755910172,busPoint - council5
127.134649885865,37.4554659823688,busStop - AI공학관
127.134781240143,37.4541921296035,busPoint - AI1
127.134772232086,37.4539160379619,busPoint - AI2
127.134827982501,37.4541965478333,busPoint - council3
127.134814470299,37.4539048360101,busPoint - council2
127.134682974372,37.4537660190661,busPoint - AI3
127.134724476808,37.4537524028605,busPoint - council1
127.134401278151,37.4535945367383,busPoint - AI4
127.134428947028,37.4535506893513,busStop - 학생회관
127.134112979939,37.4534788616022,busPoint - AI5
127.134144932669,37.4534475536464,busPoint - edu5
127.133664441114,37.4530599656135,busPoint - edu4
127.13364092218,37.4530840082071,busPoint - dorm1
127.132848719344,37.4527780090498,busPoint - dorm2
127.132865746028,37.4527433510794,busPoint - edu3
127.13207746614,37.452440706256,busPoint - edu2
127.132065146291,37.4524699993384,busPoint - lib1
127.131861385626,37.4523690283817,busPoint - lib2
127.131879153365,37.4523425710816,busPoint - edu1
127.131519620494,37.4522320124254,busStop - 교육대학원
127.131675616674,37.4523585612862,busPoint - lib3
127.131513746783,37.4523745761298,busPoint - lib4
127.131274423652,37.4519801790323,busPoint - lib5
127.131148337337,37.4519840069313,busPoint - lib6
127.131402691937,37.4521461619349,busPoint - semi10
127.130875653336,37.4512071750737,busPoint - semi9
127.13079219608,37.4511419275692,busPoint - semi8
127.130367114951,37.4509540883736,busPoint - semi7
127.130271723004,37.4508087882133,busPoint - semi6
127.130247657788,37.4506613228308,busPoint - semi5
127.129573740044,37.4499225374574,busPoint - semi3
127.129885484746,37.4498510945562,busPoint - semi4
127.129195874902,37.4500460536727,busPoint - semi2
127.12750240897,37.4504914135063,busPoint - semi1
127.127491056814,37.4507972554616,busStart - 반도체대학
127.127484424156,37.4517095472384,busStop - 글로벌센터
127.128565036235,37.4519268463551,busPoint - lib11
127.128763655232,37.4519116674881,busPoint - lib10
127.129501695789,37.452058274213,busPoint - lib9
127.13003360505,37.4524551547633,busPoint - lib8
127.130630735518,37.4526338693203,busPoint - lib7
127.134657373479,37.4553617321715,busStart - AI공학관
127.127485294218,37.4509076196105,busStop - 반도체대학
127.133950116734,37.4533785539371,busStop - 제3기숙사
127.132281160855,37.4525561074553,busStop - 중앙도서관
