geometry,altitude,latitude,longitude,name
135,82.4,37.45246092,127.1301987,대학원 앞 길목
136,82.4,37.45256046,127.1301535,대학원 정문
137,73.6,37.45192555,127.129735,"예음홀, 예술대학2 입구"
138,66.8,37.45214356,127.1287202,예술대학 정문
139,66.8,37.45202286,127.1287538,예술대학 코너
140,76.1,37.4495156,127.1294064,산학협력관 정문
141,66.2,37.4494384,127.1285501,공과대학 정문
142,55.8,37.45063757,127.1274527,반도체대학 코너
143,55.6,37.4501839,127.1272884,비전타워 쪽문
144,54,37.44965575,127.1269088,비전타워 정문 앞 횡단보도
145,55.8,37.45075124,127.1274545,반도체대학 무당이정류장
146,63.2,37.45132743,127.1286043,공대쪽문
